Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-819.000	9853.000	-819.000	0.000	-819.000	NaN	-819.000	NaN	-819.000	NaN
-817.000	9997.000	-817.000	0.000	-817.000	-Inf	-817.000	-Inf	-817.000	NaN
-815.000	9879.000	-815.000	0.000	-815.000	-Inf	-815.000	NaN	-815.000	NaN
-813.000	9984.000	-813.000	0.000	-813.000	-Inf	-813.000	NaN	-813.000	NaN
-811.000	9849.000	-811.000	0.000	-811.000	NaN	-811.000	-Inf	-811.000	NaN
-809.000	9952.000	-809.000	0.000	-809.000	-Inf	-809.000	NaN	-809.000	NaN
-807.000	9922.000	-807.000	0.000	-807.000	-Inf	-807.000	-Inf	-807.000	NaN
-805.000	9909.000	-805.000	0.000	-805.000	NaN	-805.000	NaN	-805.000	NaN
-803.000	9810.000	-803.000	0.000	-803.000	-Inf	-803.000	NaN	-803.000	NaN
-801.000	9926.000	-801.000	0.000	-801.000	NaN	-801.000	NaN	-801.000	-Inf
-798.900	9854.000	-798.900	0.000	-798.900	NaN	-798.900	NaN	-798.900	NaN
-796.900	9887.000	-796.900	0.000	-796.900	-Inf	-796.900	NaN	-796.900	-Inf
-794.900	9887.000	-794.900	0.000	-794.900	-Inf	-794.900	NaN	-794.900	-Inf
-792.900	9929.000	-792.900	0.000	-792.900	-Inf	-792.900	-Inf	-792.900	NaN
-790.900	9856.000	-790.900	0.000	-790.900	NaN	-790.900	-Inf	-790.900	NaN
-788.900	9849.000	-788.900	0.000	-788.900	-Inf	-788.900	NaN	-788.900	NaN
-786.900	9833.000	-786.900	0.000	-786.900	-Inf	-786.900	NaN	-786.900	NaN
-784.900	9903.000	-784.900	0.000	-784.900	NaN	-784.900	NaN	-784.900	NaN
-782.900	9881.000	-782.900	0.000	-782.900	NaN	-782.900	NaN	-782.900	NaN
-780.900	9926.000	-780.900	0.000	-780.900	-Inf	-780.900	NaN	-780.900	NaN
-778.900	9888.000	-778.900	0.000	-778.900	-Inf	-778.900	NaN	-778.900	-Inf
-776.900	9884.000	-776.900	0.000	-776.900	-Inf	-776.900	NaN	-776.900	NaN
-774.900	9857.000	-774.900	0.000	-774.900	-Inf	-774.900	NaN	-774.900	NaN
-772.900	9877.000	-772.900	0.000	-772.900	-Inf	-772.900	NaN	-772.900	NaN
-770.900	9873.000	-770.900	0.000	-770.900	NaN	-770.900	NaN	-770.900	NaN
-768.900	9875.000	-768.900	0.000	-768.900	NaN	-768.900	NaN	-768.900	NaN
-766.900	9933.000	-766.900	0.000	-766.900	-Inf	-766.900	NaN	-766.900	NaN
-764.900	9900.000	-764.900	0.000	-764.900	NaN	-764.900	NaN	-764.900	NaN
-762.900	9861.000	-762.900	0.000	-762.900	NaN	-762.900	NaN	-762.900	NaN
-760.900	9887.000	-760.900	0.000	-760.900	NaN	-760.900	NaN	-760.900	NaN
-758.800	9890.000	-758.800	0.000	-758.800	NaN	-758.800	NaN	-758.800	NaN
-756.800	9822.000	-756.800	0.000	-756.800	-Inf	-756.800	NaN	-756.800	NaN
-754.800	9880.000	-754.800	0.000	-754.800	-Inf	-754.800	NaN	-754.800	NaN
-752.800	9880.000	-752.800	0.000	-752.800	-Inf	-752.800	NaN	-752.800	NaN
-750.800	9829.000	-750.800	0.000	-750.800	NaN	-750.800	NaN	-750.800	-Inf
-748.800	9902.000	-748.800	0.000	-748.800	-Inf	-748.800	NaN	-748.800	-Inf
-746.800	9889.000	-746.800	0.000	-746.800	NaN	-746.800	NaN	-746.800	NaN
-744.800	9929.000	-744.800	0.000	-744.800	-Inf	-744.800	NaN	-744.800	NaN
-742.800	9901.000	-742.800	0.000	-742.800	NaN	-742.800	-Inf	-742.800	NaN
-740.800	9866.000	-740.800	0.000	-740.800	-Inf	-740.800	-Inf	-740.800	NaN
-738.800	9903.000	-738.800	0.000	-738.800	-Inf	-738.800	-Inf	-738.800	NaN
-736.800	9976.000	-736.800	0.000	-736.800	-Inf	-736.800	NaN	-736.800	NaN
-734.800	9824.000	-734.800	0.000	-734.800	-Inf	-734.800	NaN	-734.800	NaN
-732.800	9949.000	-732.800	0.000	-732.800	-Inf	-732.800	NaN	-732.800	NaN
-730.800	9884.000	-730.800	0.000	-730.800	NaN	-730.800	NaN	-730.800	NaN
-728.800	9922.000	-728.800	0.000	-728.800	-Inf	-728.800	NaN	-728.800	NaN
-726.800	9851.000	-726.800	0.000	-726.800	-Inf	-726.800	NaN	-726.800	NaN
-724.800	9892.000	-724.800	0.000	-724.800	-Inf	-724.800	NaN	-724.800	NaN
-722.800	9896.000	-722.800	0.000	-722.800	NaN	-722.800	NaN	-722.800	NaN
-720.800	9815.000	-720.800	0.000	-720.800	NaN	-720.800	NaN	-720.800	NaN
-718.800	10003.000	-718.800	0.000	-718.800	-Inf	-718.800	NaN	-718.800	NaN
-716.700	9918.000	-716.700	0.000	-716.700	-Inf	-716.700	NaN	-716.700	NaN
-714.700	9936.000	-714.700	0.000	-714.700	-Inf	-714.700	NaN	-714.700	NaN
-712.700	9871.000	-712.700	0.000	-712.700	-Inf	-712.700	NaN	-712.700	NaN
-710.700	9860.000	-710.700	0.000	-710.700	-Inf	-710.700	NaN	-710.700	NaN
-708.700	9877.000	-708.700	0.000	-708.700	-Inf	-708.700	NaN	-708.700	NaN
-706.700	9831.000	-706.700	0.000	-706.700	NaN	-706.700	NaN	-706.700	NaN
-704.700	9900.000	-704.700	0.000	-704.700	-Inf	-704.700	NaN	-704.700	NaN
